2023-12-17 19:52:32.712 [restartedMain] INFO  o.java2.backend.BackendApplication - Starting BackendApplication using Java 17.0.3 with PID 36775 (/Users/user/Library/Mobile Documents/com~apple~CloudDocs/大三上/Java2/Lab/Lab11/CS209-Project/Backend/target/classes started by user in /Users/user/Library/Mobile Documents/com~apple~CloudDocs/大三上/Java2/Lab/Lab11/CS209-Project)
2023-12-17 19:52:32.717 [restartedMain] INFO  o.java2.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-17 19:52:32.745 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-12-17 19:52:32.745 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-12-17 19:52:33.286 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-17 19:52:33.299 [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2023-12-17 19:52:33.450 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2023-12-17 19:52:33.457 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-17 19:52:33.458 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2023-12-17 19:52:33.484 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-17 19:52:33.484 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 739 ms
2023-12-17 19:52:33.676 [restartedMain] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "org.java2.backend.entity.AnswerTagRelation".
2023-12-17 19:52:33.676 [restartedMain] WARN  c.b.m.c.injector.DefaultSqlInjector - class org.java2.backend.entity.AnswerTagRelation ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-12-17 19:52:33.697 [restartedMain] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "org.java2.backend.entity.QuestionTagRelation".
2023-12-17 19:52:33.697 [restartedMain] WARN  c.b.m.c.injector.DefaultSqlInjector - class org.java2.backend.entity.QuestionTagRelation ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-12-17 19:52:34.088 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-12-17 19:52:34.111 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2023-12-17 19:52:34.118 [restartedMain] INFO  o.java2.backend.BackendApplication - Started BackendApplication in 1.671 seconds (process running for 2.069)
2023-12-17 19:52:34.119 [restartedMain] INFO  org.java2.backend.common.ServerInfo - Server is running at http://localhost:8082
2023-12-17 19:52:34.119 [restartedMain] INFO  org.java2.backend.common.ServerInfo - Swagger is running at http://localhost:8082/swagger-ui/index.html
